Wall time,Step,Value
1493414172.2134798,243,0.07209853827953339
1493414173.2595396,244,0.07148443162441254
1493414174.2895985,245,0.07087831199169159
1493414175.3176572,246,0.0702800378203392
1493414176.363717,247,0.06968947499990463
1493414177.393776,248,0.06910648196935654
1493414178.4378357,249,0.06853093206882477
1493414179.4688947,250,0.06796269118785858
1493414180.4969535,251,0.06740163266658783
1493414181.5270126,252,0.06684763729572296
1493414182.571072,253,0.06630058586597443
1493414183.6011312,254,0.06576035916805267
1493414184.646191,255,0.06522683799266815
1493414185.6922507,256,0.0646999180316925
1493414186.7223096,257,0.06417948007583618
1493414187.7673695,258,0.06366541981697083
1493414188.811429,259,0.06315762549638748
1493414189.841488,260,0.06265600025653839
1493414190.8855476,261,0.0621604397892952
1493414191.9166067,262,0.06167084351181984
1493414192.9606664,263,0.06118711829185486
1493414194.0067263,264,0.060709163546562195
1493414195.050786,265,0.060236889868974686
1493414196.082845,266,0.05977020785212517
1493414197.1269047,267,0.05930902436375618
1493414198.1709645,268,0.05885324999690056
1493414199.2020235,269,0.05840280279517174
1493414200.2470832,270,0.05795759707689285
1493414201.276142,271,0.05751755088567734
1493414202.3212018,272,0.057082585990428925
1493414203.3662615,273,0.05665262043476105
1493414204.4123213,274,0.05622757971286774
1493414205.4413803,275,0.05580738186836243
1493414206.4864402,276,0.055391959846019745
1493414207.5324998,277,0.05498123541474342
1493414208.5615587,278,0.05457514151930809
1493414209.6066184,279,0.054173607379198074
1493414210.6366775,280,0.053776562213897705
1493414211.6827374,281,0.05338393896818161
1493414212.727797,282,0.052995674312114716
1493414213.756856,283,0.05261170119047165
1493414214.8019156,284,0.05223195627331734
1493414215.8309746,285,0.051856379956007004
1493414216.8760343,286,0.051484908908605576
1493414217.9060931,287,0.05111748352646828
1493414218.951153,288,0.05075404420495033
1493414219.997213,289,0.050394535064697266
1493414221.0422726,290,0.0500389002263546
1493414222.0873325,291,0.04968708008527756
1493414223.1323922,292,0.04933902621269226
1493414224.161451,293,0.048994679003953934
1493414225.2065108,294,0.048653993755578995
1493414226.2365696,295,0.04831691086292267
1493414227.2816296,296,0.04798338562250137
1493414228.3126884,297,0.04765336215496063
1493414229.356748,298,0.04732679948210716
1493414230.4018078,299,0.04700364172458649
1493414231.4468677,300,0.04668384790420532
1493414232.4929276,301,0.04636736959218979
1493414233.5219865,302,0.046054162085056305
1493414234.5670462,303,0.04574417695403099
1493414235.613106,304,0.04543737694621086
1493414236.642165,305,0.04513371363282204
1493414237.6872246,306,0.04483314976096153
1493414238.7332845,307,0.04453564062714577
1493414239.7613432,308,0.04424114525318146
1493414240.791402,309,0.04394962266087532
1493414241.820461,310,0.04366103559732437
1493414242.866521,311,0.04337534308433533
1493414243.9125807,312,0.0430925078690052
1493414244.9426396,313,0.042812492698431015
1493414245.9696984,314,0.04253526031970978
1493414247.0157583,315,0.042260777205228806
1493414248.0458171,316,0.041989006102085114
1493414249.0908768,317,0.04171990975737572
1493414250.1359367,318,0.04145345464348793
1493414251.1809964,319,0.04118960723280907
1493414252.2110555,320,0.04092833027243614
1493414253.2561152,321,0.04066959768533707
1493414254.285174,322,0.040413372218608856
1493414255.3312337,323,0.04015962779521942
1493414256.3762937,324,0.03990832716226578
1493414257.4053524,325,0.03965944051742554
1493414258.449412,326,0.03941293805837631
1493414259.4804711,327,0.039168789982795715
1493414260.5255308,328,0.03892696648836136
1493414261.5695906,329,0.03868744149804115
1493414262.6146505,330,0.03845018520951271
1493414263.6467094,331,0.038215167820453644
1493414264.6907692,332,0.03798236325383186
1493414265.720828,333,0.03775174543261528
1493414266.766888,334,0.037523284554481506
1493414267.8109477,335,0.03729695826768875
1493414268.8560073,336,0.03707273304462433
1493414269.8870664,337,0.036850593984127045
1493414270.931126,338,0.03663050755858421
1493414271.9761858,339,0.036412451416254044
1493414273.0222456,340,0.036196403205394745
1493414274.0503044,341,0.03598233312368393
1493414275.0963643,342,0.0357702262699604
1493414276.1254232,343,0.03556005284190178
1493414277.169483,344,0.035351790487766266
1493414278.201542,345,0.03514541685581207
1493414279.2466016,346,0.03494090959429741
1493414280.2906613,347,0.03473825007677078
1493414281.3377213,348,0.0345374159514904
1493414282.382781,349,0.03433838114142418
1493414283.4098399,350,0.03414112702012062
1493414284.440899,351,0.033945634961128235
1493414285.4869585,352,0.03375188261270523
1493414286.5310183,353,0.03355984762310982
1493414287.575078,354,0.0333695150911808
1493414288.6221378,355,0.03318085893988609
1493414289.6511967,356,0.0329938642680645
1493414290.6792555,357,0.032808512449264526
1493414291.7253153,358,0.03262478485703468
1493414292.7563744,359,0.03244265913963318
1493414293.800434,360,0.03226212039589882
1493414294.8454938,361,0.03208314999938011
1493414295.8905537,362,0.031905729323625565
1493414296.9216125,363,0.031729839742183685
1493414297.9656725,364,0.03155546635389328
1493414299.0107322,365,0.031382594257593155
1493414300.0557919,366,0.03121120296418667
1493414301.0858507,367,0.031041277572512627
1493414302.1309106,368,0.030872799456119537
1493414303.1759703,369,0.030705755576491356
1493414304.2060294,370,0.03054012916982174
1493414305.252089,371,0.030375903472304344
1493414306.2961488,372,0.030213063582777977
1493414307.3262079,373,0.030051592737436295
1493414308.3712676,374,0.0298914797604084
1493414309.4163272,375,0.029732706025242805
1493414310.4453862,376,0.029575258493423462
1493414311.4904459,377,0.029419122263789177
1493414312.520505,378,0.029264282435178757
1493414313.5505638,379,0.029110724106431007
1493414314.5796225,380,0.028958436101675034
1493414315.6246824,381,0.02880740351974964
1493414316.6547413,382,0.028657613322138786
1493414317.6998012,383,0.028509052470326424
1493414318.744861,384,0.02836170792579651
1493414319.7749197,385,0.028215564787387848
1493414320.8039787,386,0.028070610016584396
1493414321.8500385,387,0.02792683243751526
1493414322.8950982,388,0.02778421901166439
1493414323.940158,389,0.027642758563160896
1493414324.970217,390,0.02750243805348873
1493414326.0152767,391,0.02736324444413185
1493414327.0603366,392,0.02722516655921936
1493414328.1053963,393,0.027088195085525513
1493414329.133455,394,0.026952315121889114
1493414330.179515,395,0.02681751549243927
1493414331.2255747,396,0.026683785021305084
1493414332.2546337,397,0.02655111439526081
1493414333.2996933,398,0.026419490575790405
